ts,version,battery_percent,mode,mode_name,heart_bpm,flags,fall,high_stress,obstacle_near,obstacle_imminent,sensor_status,imu_valid,ultra_left_valid,ultra_right_valid,matrix_head_valid,matrix_waist_valid,pulse_valid,battery_valid,imu_ax_ms2,imu_ay_ms2,imu_az_ms2,ultra_left_mm,ultra_right_mm,matrix_head_mm,matrix_waist_mm,heart_raw
2026-04-16T17:24:45.354,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.61,-1.45,6.36,65535,65535,65535,65535,0
2026-04-16T17:24:45.593,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.24,-2.08,7.4,65535,65535,65535,65535,0
2026-04-16T17:24:45.773,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.8,-1.21,10.26,65535,65535,65535,65535,0
2026-04-16T17:24:46.013,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,8.9,-1.23,7.33,65535,65535,65535,65535,0
2026-04-16T17:24:46.193,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.24,-0.69,6.24,65535,65535,65535,65535,0
2026-04-16T17:24:46.733,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.4,-1.66,7.54,65535,65535,65535,65535,0
2026-04-16T17:24:46.916,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.54,-2.11,6.12,65535,65535,65535,65535,0
2026-04-16T17:24:47.213,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.04,-1.48,9.05,65535,65535,65535,65535,0
2026-04-16T17:24:47.333,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.22,-4.09,10.53,65535,65535,65535,65535,0
2026-04-16T17:24:47.514,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.34,-0.91,5.26,65535,65535,65535,65535,0
2026-04-16T17:24:47.753,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.51,-1.14,8.76,65535,65535,65535,65535,0
2026-04-16T17:24:47.933,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.41,-2.58,7.09,65535,65535,65535,65535,0
2026-04-16T17:24:48.113,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.63,-0.7,6.93,65535,65535,65535,65535,0
2026-04-16T17:24:48.353,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.42,-1.78,7.26,65535,65535,65535,65535,0
2026-04-16T17:24:48.533,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.37,-0.27,9.53,65535,65535,65535,65535,0
2026-04-16T17:24:48.775,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.47,-1.97,6.63,65535,65535,65535,65535,0
2026-04-16T17:24:48.954,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.28,-2.24,5.55,65535,65535,65535,65535,0
2026-04-16T17:24:49.134,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.53,-0.82,8.08,65535,65535,65535,65535,0
2026-04-16T17:24:49.374,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.04,-1.21,6.92,65535,65535,65535,65535,0
2026-04-16T17:24:49.554,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.3,-0.95,6.9,65535,65535,65535,65535,0
2026-04-16T17:24:49.794,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.12,-2.09,7.14,65535,65535,65535,65535,0
2026-04-16T17:24:49.975,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.69,-1.54,8.48,65535,65535,65535,65535,0
2026-04-16T17:24:50.153,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.76,-0.2,7.39,65535,65535,65535,65535,0
2026-04-16T17:24:50.453,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.07,-1.64,8.15,65535,65535,65535,65535,0
2026-04-16T17:24:50.633,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,8.79,-1.1,7.47,65535,65535,65535,65535,0
2026-04-16T17:24:50.874,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.92,0.22,7.58,65535,65535,65535,65535,0
2026-04-16T17:24:51.113,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.17,-1.8,6.75,65535,65535,65535,65535,0
2026-04-16T17:24:51.293,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.65,-3.09,8.62,65535,65535,65535,65535,0
2026-04-16T17:24:51.473,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.04,-2.12,6.69,65535,65535,65535,65535,0
2026-04-16T17:24:51.654,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.43,-1.6,6.49,65535,65535,65535,65535,0
2026-04-16T17:24:51.893,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.98,-1.61,8.33,65535,65535,65535,65535,0
2026-04-16T17:24:52.073,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.45,0.02,6.82,65535,65535,65535,65535,0
2026-04-16T17:24:52.373,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.85,-0.84,6.82,65535,65535,65535,65535,0
2026-04-16T17:24:52.493,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.15,-2.94,7.37,65535,65535,65535,65535,0
2026-04-16T17:24:52.733,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.17,-2.08,7.72,65535,65535,65535,65535,0
2026-04-16T17:24:52.913,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.47,-1.66,6.48,65535,65535,65535,65535,0
2026-04-16T17:24:53.092,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.61,-1.67,7.35,65535,65535,65535,65535,0
2026-04-16T17:24:53.333,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.9,-0.53,7.52,65535,65535,65535,65535,0
2026-04-16T17:24:53.514,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.45,-2.21,6.34,65535,65535,65535,65535,0
2026-04-16T17:24:53.753,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.87,-1.27,7.01,65535,65535,65535,65535,0
2026-04-16T17:24:53.934,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.15,-1.69,7.12,65535,65535,65535,65535,0
2026-04-16T17:24:54.114,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.71,-2.0,6.08,65535,65535,65535,65535,0
2026-04-16T17:24:54.353,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.37,-2.29,9.49,65535,65535,65535,65535,0
2026-04-16T17:24:54.593,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.35,-1.49,6.72,65535,65535,65535,65535,0
2026-04-16T17:24:54.774,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.75,-0.96,7.86,65535,65535,65535,65535,0
2026-04-16T17:24:54.953,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.88,-1.64,6.61,65535,65535,65535,65535,0
2026-04-16T17:24:55.135,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.89,-1.46,7.78,65535,65535,65535,65535,0
2026-04-16T17:24:55.374,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.24,-2.92,7.6,65535,65535,65535,65535,0
2026-04-16T17:24:55.553,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,4.66,-2.07,7.57,65535,65535,65535,65535,0
2026-04-16T17:24:55.793,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.71,-1.29,10.14,65535,65535,65535,65535,0
2026-04-16T17:24:55.973,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.38,-1.37,8.0,65535,65535,65535,65535,0
2026-04-16T17:24:56.153,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.0,-1.28,6.82,65535,65535,65535,65535,0
2026-04-16T17:24:56.393,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.58,-0.98,5.6,65535,65535,65535,65535,0
2026-04-16T17:24:56.573,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.83,-2.27,6.77,65535,65535,65535,65535,0
2026-04-16T17:24:56.814,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.94,-3.27,7.61,65535,65535,65535,65535,0
2026-04-16T17:24:56.993,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.03,-2.95,6.17,65535,65535,65535,65535,0
2026-04-16T17:24:57.174,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.68,-3.19,5.57,65535,65535,65535,65535,0
2026-04-16T17:24:57.413,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.36,-0.88,6.54,65535,65535,65535,65535,0
2026-04-16T17:24:57.593,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.55,-3.38,8.3,65535,65535,65535,65535,0
2026-04-16T17:24:57.834,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.66,-2.8,7.47,65535,65535,65535,65535,0
2026-04-16T17:24:58.013,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.64,-2.63,6.47,65535,65535,65535,65535,0
2026-04-16T17:24:58.193,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,8.75,-2.75,8.74,65535,65535,65535,65535,0
2026-04-16T17:24:58.433,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.82,-3.38,5.87,65535,65535,65535,65535,0
2026-04-16T17:24:58.613,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.09,-3.59,6.04,65535,65535,65535,65535,0
2026-04-16T17:24:58.853,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.64,-0.96,8.1,65535,65535,65535,65535,0
2026-04-16T17:24:59.033,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.66,-2.63,8.14,65535,65535,65535,65535,0
2026-04-16T17:24:59.213,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.94,-2.18,7.7,65535,65535,65535,65535,0
2026-04-16T17:24:59.454,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.86,-1.85,6.44,65535,65535,65535,65535,0
2026-04-16T17:24:59.633,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,8.02,-4.91,8.98,65535,65535,65535,65535,0
2026-04-16T17:24:59.873,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,8.19,-3.32,6.37,65535,65535,65535,65535,0
2026-04-16T17:25:00.053,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.78,-3.1,6.19,65535,65535,65535,65535,0
