ts,version,battery_percent,mode,mode_name,heart_bpm,flags,fall,high_stress,obstacle_near,obstacle_imminent,imu_ax_ms2,imu_ay_ms2,imu_az_ms2,ultra_left_mm,ultra_right_mm,matrix_head_mm,matrix_waist_mm,matrix_head_valid,matrix_waist_valid,ultra_left_zone,ultra_right_zone,matrix_head_zone,matrix_waist_zone
2026-04-16 16:56:42.049,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,297,106,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:42.288,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,296,103,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:42.498,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,294,105,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:42.693,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,293,105,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:42.978,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,294,103,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:43.158,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,297,103,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:43.398,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,301,107,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:43.578,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,296,104,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:43.818,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,298,105,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:44.058,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,299,105,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:44.239,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,59,40,311,106,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:44.479,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,315,106,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:44.659,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,314,105,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:44.899,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,60,40,310,105,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:45.079,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,302,103,True,True,imminent,imminent,near,imminent
