ts,version,battery_percent,mode,mode_name,heart_bpm,flags,fall,high_stress,obstacle_near,obstacle_imminent,imu_ax_ms2,imu_ay_ms2,imu_az_ms2,ultra_left_mm,ultra_right_mm,matrix_head_mm,matrix_waist_mm,matrix_head_valid,matrix_waist_valid,pulse_raw,pulse_detected,ultra_left_zone,ultra_right_zone,matrix_head_zone,matrix_waist_zone
2026-04-16 20:27:40.418,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,107,111,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:40.642,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,111,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:40.868,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,111,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:41.092,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:41.317,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:41.587,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,106,108,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:41.767,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,107,111,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:42.007,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,103,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:42.247,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,59,90,104,107,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:42.487,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,106,107,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:42.668,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,106,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:42.907,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,106,106,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:43.148,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,103,111,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:43.328,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,112,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:43.568,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,106,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:43.808,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,58,90,103,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:44.048,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:44.227,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:44.468,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,101,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:44.708,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,111,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:44.948,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,103,108,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:45.127,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,58,90,105,112,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:45.368,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,113,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:45.607,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,106,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:45.847,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,59,90,105,111,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:46.028,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:46.268,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,108,108,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:46.508,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,106,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:46.747,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,102,112,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:46.927,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,103,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:47.168,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,111,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:47.407,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,103,105,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:47.647,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,106,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:47.827,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,106,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:48.068,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,107,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:48.308,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:48.548,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,103,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:48.727,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:48.976,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,108,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:49.208,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,106,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:49.447,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,108,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:49.627,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,106,108,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:49.868,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:50.108,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,106,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:50.347,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,106,108,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:50.527,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:50.768,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,103,111,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:51.008,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,108,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:51.247,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:51.428,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,102,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:51.668,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:51.908,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,106,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:52.147,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,112,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:52.327,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,106,106,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:52.568,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,59,90,105,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:52.807,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,109,True,True,0,False,imminent,imminent,imminent,imminent
