ts,version,battery_percent,mode,mode_name,heart_bpm,flags,fall,high_stress,obstacle_near,obstacle_imminent,imu_ax_ms2,imu_ay_ms2,imu_az_ms2,ultra_left_mm,ultra_right_mm,matrix_head_mm,matrix_waist_mm,matrix_head_valid,matrix_waist_valid,elapsed_s,heart_abnormal
2026-05-01 12:00:00.000,2,94,0,NORMAL,109,0,False,False,False,False,0.25,-6.63,7.34,65535,65535,65535,65535,False,False,0.0,False
2026-05-01 12:00:00.200,2,94,0,NORMAL,110,0,False,False,False,False,0.25,-6.72,7.45,65535,65535,65535,65535,False,False,0.2,False
2026-05-01 12:00:00.400,2,94,0,NORMAL,109,0,False,False,False,False,0.25,-6.73,7.15,65535,65535,65535,65535,False,False,0.4,False
2026-05-01 12:00:00.600,2,94,0,NORMAL,109,0,False,False,False,False,0.24,-6.83,7.23,65535,65535,65535,65535,False,False,0.6,False
2026-05-01 12:00:00.800,2,94,0,NORMAL,108,0,False,False,False,False,0.18,-6.69,7.13,65535,65535,65535,65535,False,False,0.8,False
2026-05-01 12:00:01.000,2,94,0,NORMAL,108,0,False,False,False,False,0.26,-6.61,7.14,65535,65535,65535,65535,False,False,1.0,False
2026-05-01 12:00:01.200,2,94,0,NORMAL,108,0,False,False,False,False,0.24,-6.54,7.38,65535,65535,65535,65535,False,False,1.2,False
2026-05-01 12:00:01.400,2,94,0,NORMAL,107,0,False,False,False,False,0.14,-6.53,7.42,65535,65535,65535,65535,False,False,1.4,False
2026-05-01 12:00:01.600,2,94,0,NORMAL,108,0,False,False,False,False,0.24,-6.55,7.24,65535,65535,65535,65535,False,False,1.6,False
2026-05-01 12:00:01.800,2,94,0,NORMAL,107,0,False,False,False,False,0.2,-6.86,7.47,65535,65535,65535,65535,False,False,1.8,False
2026-05-01 12:00:02.000,2,94,0,NORMAL,107,0,False,False,False,False,0.25,-6.66,7.41,65535,65535,65535,65535,False,False,2.0,False
2026-05-01 12:00:02.200,2,94,0,NORMAL,106,0,False,False,False,False,0.18,-6.69,7.33,65535,65535,65535,65535,False,False,2.2,False
2026-05-01 12:00:02.400,2,94,0,NORMAL,105,0,False,False,False,False,0.27,-6.55,7.17,65535,65535,65535,65535,False,False,2.4,False
2026-05-01 12:00:02.600,2,94,0,NORMAL,104,0,False,False,False,False,0.26,-6.67,7.4,65535,65535,65535,65535,False,False,2.6,False
2026-05-01 12:00:02.800,2,94,0,NORMAL,105,0,False,False,False,False,0.15,-6.77,7.25,65535,65535,65535,65535,False,False,2.8,False
2026-05-01 12:00:03.000,2,94,0,NORMAL,105,0,False,False,False,False,0.16,-6.54,7.24,65535,65535,65535,65535,False,False,3.0,False
2026-05-01 12:00:03.200,2,94,0,NORMAL,103,0,False,False,False,False,0.17,-6.69,7.42,65535,65535,65535,65535,False,False,3.2,False
2026-05-01 12:00:03.400,2,94,0,NORMAL,103,0,False,False,False,False,0.23,-6.53,7.18,65535,65535,65535,65535,False,False,3.4,False
2026-05-01 12:00:03.600,2,94,0,NORMAL,102,0,False,False,False,False,0.13,-6.71,7.22,65535,65535,65535,65535,False,False,3.6,False
2026-05-01 12:00:03.800,2,94,0,NORMAL,103,0,False,False,False,False,0.25,-6.8,7.15,65535,65535,65535,65535,False,False,3.8,False
2026-05-01 12:00:04.000,2,94,0,NORMAL,101,0,False,False,False,False,0.25,-6.82,7.38,65535,65535,65535,780,False,True,4.0,False
2026-05-01 12:00:04.200,2,94,0,NORMAL,101,0,False,False,False,False,0.2,-6.69,7.2,65535,65535,65535,768,False,True,4.2,False
2026-05-01 12:00:04.400,2,94,0,NORMAL,99,0,False,False,False,False,0.19,-6.84,7.19,65535,65535,65535,756,False,True,4.4,False
2026-05-01 12:00:04.600,2,94,0,NORMAL,101,0,False,False,False,False,0.16,-6.57,7.18,65535,65535,65535,744,False,True,4.6,False
2026-05-01 12:00:04.800,2,94,0,NORMAL,100,0,False,False,False,False,0.25,-6.85,7.13,65535,65535,65535,732,False,True,4.8,False
2026-05-01 12:00:05.000,2,94,0,NORMAL,98,0,False,False,False,False,0.12,-6.73,7.14,65535,65535,65535,720,False,True,5.0,False
2026-05-01 12:00:05.200,2,94,0,NORMAL,98,0,False,False,False,False,0.14,-6.88,7.45,65535,65535,65535,708,False,True,5.2,False
2026-05-01 12:00:05.400,2,94,0,NORMAL,97,0,False,False,False,False,0.22,-6.62,7.37,65535,65535,65535,696,False,True,5.4,False
2026-05-01 12:00:05.600,2,94,0,NORMAL,97,0,False,False,False,False,0.22,-6.61,7.26,65535,65535,65535,684,False,True,5.6,False
2026-05-01 12:00:05.800,2,94,0,NORMAL,97,0,False,False,False,False,0.21,-6.66,7.31,65535,65535,65535,672,False,True,5.8,False
2026-05-01 12:00:06.000,2,94,0,NORMAL,96,0,False,False,False,False,0.24,-6.85,7.37,65535,65535,65535,660,False,True,6.0,False
2026-05-01 12:00:06.200,2,94,0,NORMAL,98,0,False,False,False,False,0.12,-6.7,7.36,65535,65535,65535,648,False,True,6.2,False
2026-05-01 12:00:06.400,2,94,0,NORMAL,96,0,False,False,False,False,0.23,-6.82,7.32,65535,65535,65535,636,False,True,6.4,False
2026-05-01 12:00:06.600,2,94,0,NORMAL,95,0,False,False,False,False,0.17,-6.85,7.36,65535,65535,65535,624,False,True,6.6,False
2026-05-01 12:00:06.800,2,94,0,NORMAL,97,0,False,False,False,False,0.25,-6.64,7.19,65535,65535,65535,612,False,True,6.8,False
2026-05-01 12:00:07.000,2,94,0,NORMAL,96,0,False,False,False,False,0.14,-6.79,7.31,65535,65535,65535,600,False,True,7.0,False
2026-05-01 12:00:07.200,2,94,0,NORMAL,96,0,False,False,False,False,0.24,-6.55,7.23,65535,65535,65535,588,False,True,7.2,False
2026-05-01 12:00:07.400,2,94,0,NORMAL,96,0,False,False,False,False,0.24,-6.75,7.17,65535,65535,65535,576,False,True,7.4,False
2026-05-01 12:00:07.600,2,94,0,NORMAL,97,0,False,False,False,False,0.17,-6.69,7.31,65535,65535,65535,564,False,True,7.6,False
2026-05-01 12:00:07.800,2,94,0,NORMAL,97,0,False,False,False,False,0.15,-6.72,7.33,65535,65535,65535,552,False,True,7.8,False
2026-05-01 12:00:08.000,2,94,0,NORMAL,97,4,False,False,True,False,0.22,-6.77,7.44,65535,65535,65535,500,False,True,8.0,False
2026-05-01 12:00:08.200,2,94,0,NORMAL,97,4,False,False,True,False,0.26,-6.56,7.16,65535,65535,65535,484,False,True,8.2,False
2026-05-01 12:00:08.400,2,94,0,NORMAL,97,4,False,False,True,False,0.17,-6.57,7.46,65535,65535,65535,468,False,True,8.4,False
2026-05-01 12:00:08.600,2,94,0,NORMAL,97,4,False,False,True,False,0.15,-6.72,7.39,65535,65535,65535,452,False,True,8.6,False
2026-05-01 12:00:08.800,2,94,0,NORMAL,96,4,False,False,True,False,0.19,-6.71,7.4,65535,65535,65535,436,False,True,8.8,False
2026-05-01 12:00:09.000,2,94,0,NORMAL,97,4,False,False,True,False,0.23,-6.68,7.34,65535,65535,65535,420,False,True,9.0,False
2026-05-01 12:00:09.200,2,94,0,NORMAL,98,4,False,False,True,False,0.26,-6.58,7.22,65535,65535,65535,404,False,True,9.2,False
2026-05-01 12:00:09.400,2,94,0,NORMAL,96,4,False,False,True,False,0.15,-6.79,7.17,65535,65535,65535,388,False,True,9.4,False
2026-05-01 12:00:09.600,2,94,0,NORMAL,97,4,False,False,True,False,0.24,-6.54,7.45,65535,65535,65535,372,False,True,9.6,False
2026-05-01 12:00:09.800,2,94,0,NORMAL,96,4,False,False,True,False,0.16,-6.84,7.43,65535,65535,65535,356,False,True,9.8,False
2026-05-01 12:00:10.000,2,94,0,NORMAL,97,4,False,False,True,False,0.15,-6.74,7.17,65535,65535,65535,340,False,True,10.0,False
2026-05-01 12:00:10.200,2,94,0,NORMAL,96,4,False,False,True,False,0.26,-6.7,7.27,65535,65535,65535,324,False,True,10.2,False
2026-05-01 12:00:10.400,2,94,0,NORMAL,95,4,False,False,True,False,0.19,-6.63,7.36,65535,65535,65535,308,False,True,10.4,False
2026-05-01 12:00:10.600,2,94,0,NORMAL,95,4,False,False,True,False,0.23,-6.63,7.14,65535,65535,65535,292,False,True,10.6,False
2026-05-01 12:00:10.800,2,94,0,NORMAL,96,4,False,False,True,False,0.22,-6.75,7.17,65535,65535,65535,276,False,True,10.8,False
2026-05-01 12:00:11.000,2,94,0,NORMAL,95,4,False,False,True,False,0.18,-6.64,7.33,65535,65535,65535,210,False,True,11.0,False
2026-05-01 12:00:11.200,2,94,0,NORMAL,95,4,False,False,True,False,0.18,-6.6,7.3,65535,65535,65535,205,False,True,11.2,False
2026-05-01 12:00:11.400,2,94,0,NORMAL,95,8,False,False,False,True,0.24,-6.63,7.12,65535,65535,65535,200,False,True,11.4,False
2026-05-01 12:00:11.600,2,94,0,NORMAL,92,8,False,False,False,True,0.13,-6.6,7.34,65535,65535,65535,195,False,True,11.6,False
2026-05-01 12:00:11.800,2,94,0,NORMAL,94,8,False,False,False,True,0.19,-6.53,7.28,65535,65535,65535,190,False,True,11.8,False
2026-05-01 12:00:12.000,2,94,0,NORMAL,92,8,False,False,False,True,0.24,-6.67,7.31,65535,65535,65535,185,False,True,12.0,False
2026-05-01 12:00:12.200,2,94,0,NORMAL,92,8,False,False,False,True,0.27,-6.57,7.33,65535,65535,65535,180,False,True,12.2,False
2026-05-01 12:00:12.400,2,94,0,NORMAL,92,8,False,False,False,True,0.28,-6.72,7.4,65535,65535,65535,175,False,True,12.4,False
2026-05-01 12:00:12.600,2,94,0,NORMAL,92,8,False,False,False,True,0.16,-6.67,7.43,65535,65535,65535,170,False,True,12.6,False
2026-05-01 12:00:12.800,2,94,0,NORMAL,92,8,False,False,False,True,0.21,-6.72,7.42,65535,65535,65535,165,False,True,12.8,False
2026-05-01 12:00:13.000,2,94,0,NORMAL,91,8,False,False,False,True,0.26,-6.88,7.4,65535,65535,65535,180,False,True,13.0,False
2026-05-01 12:00:13.200,2,94,0,NORMAL,90,8,False,False,False,True,0.21,-6.8,7.16,65535,65535,65535,189,False,True,13.2,False
2026-05-01 12:00:13.400,2,94,0,NORMAL,91,8,False,False,False,True,0.19,-6.77,7.31,65535,65535,65535,199,False,True,13.4,False
2026-05-01 12:00:13.600,2,94,0,NORMAL,90,4,False,False,True,False,0.18,-6.67,7.36,65535,65535,65535,208,False,True,13.6,False
2026-05-01 12:00:13.800,2,94,0,NORMAL,89,4,False,False,True,False,0.28,-6.71,7.16,65535,65535,65535,217,False,True,13.8,False
2026-05-01 12:00:14.000,2,94,0,NORMAL,89,4,False,False,True,False,0.15,-6.76,7.37,65535,65535,65535,227,False,True,14.0,False
2026-05-01 12:00:14.200,2,94,0,NORMAL,90,4,False,False,True,False,0.18,-6.56,7.32,65535,65535,65535,236,False,True,14.2,False
2026-05-01 12:00:14.400,2,94,0,NORMAL,91,4,False,False,True,False,0.18,-6.59,7.37,65535,65535,65535,245,False,True,14.4,False
2026-05-01 12:00:14.600,2,94,0,NORMAL,90,4,False,False,True,False,0.18,-6.62,7.13,65535,65535,65535,255,False,True,14.6,False
2026-05-01 12:00:14.800,2,94,0,NORMAL,90,4,False,False,True,False,0.25,-6.65,7.38,65535,65535,65535,264,False,True,14.8,False
